PMG11_00944	1077	4
PMG11_00945	2397	20
PMG11_00946	1662	26
PMG11_00947	966	1
PMG11_00948	942	3
PMG11_00949	915	64
PMG11_00950	783	0
PMG11_00951	1020	2
PMG11_00952	3015	76
PMG11_00953	498	52
PMG11_00954	3102	1345
PMG11_00955	1497	32
PMG11_00956	411	62
PMG11_00957	2139	67
PMG11_00958	1467	17
PMG11_00959	945	4
PMG11_00960	867	0
PMG11_00961	813	0
PMG11_00962	834	0
PMG11_00963	891	0
PMG11_00964	1560	0
PMG11_00965	3582	6
PMG11_00966	5448	30
PMG11_00967	1428	2
PMG11_00968	699	141
PMG11_00969	1338	19
PMG11_00970	1290	49
PMG11_00971	237	20
PMG11_00972	1332	30
PMG11_00973	2391	89
PMG11_00974	1317	10
PMG11_00975	3813	7
PMG11_00976	2442	10
PMG11_00977	768	0
PMG11_00978	2514	39
PMG11_00979	1041	24
PMG11_00980	435	12
PMG11_00981	1710	20
PMG11_00982	567	1
PMG11_00983	2592	5
PMG11_00984	2508	146
PMG11_00985	654	41
PMG11_00986	6372	196
PMG11_00987	1110	10
PMG11_00988	504	123
PMG11_00989	345	168
PMG11_00990	2397	41
PMG11_00991	1905	850
PMG11_00992	705	0
PMG11_00993	201	23
PMG11_00994	930	164
PMG11_00995	603	38
PMG11_00996	1197	1
PMG11_00997	993	16
PMG11_00998	357	213
PMG11_00999	2655	83
PMG11_01000	2289	34
PMG11_01001	1317	85
PMG11_01002	312	80
PMG11_01003	1875	29
PMG11_01004	1155	87
PMG11_01005	777	132
PMG11_01006	1059	65
PMG11_01007	903	4
PMG11_01008	888	16
PMG11_01009	693	21
PMG11_01010	837	10
PMG11_01011	1803	79
PMG11_01012	1155	58
PMG11_01013	1035	17
PMG11_01014	2079	8
PMG11_01015	1683	40
PMG11_01016	534	104
PMG11_01017	1977	71
PMG11_01018	888	24
PMG11_01019	2316	21
PMG11_01020	2262	97
PMG11_01021	831	92
PMG11_01022	2220	110
PMG11_01023	1731	184
PMG11_01024	2064	51
PMG11_01025	3063	142
PMG11_01026	945	31
PMG11_01027	1212	103
PMG11_01028	1191	104
PMG11_01029	1497	0
PMG11_01030	1134	0
PMG11_01031	771	1706
PMG11_01032	360	141
PMG11_01033	738	50
PMG11_01034	2535	20
PMG11_01035	564	126
PMG11_01036	1428	62
PMG11_01037	1407	108
PMG11_01038	1590	39
PMG11_01039	162	197
PMG11_01040	3951	96
PMG11_01041	1236	494
PMG11_01042	4707	96
PMG11_01043	558	19
PMG11_01044	534	71
PMG11_01045	1419	13
PMG11_01046	1551	58
PMG11_01047	2124	52
PMG11_01048	447	58
PMG11_01049	270	169
PMG11_01050	450	671
PMG11_01051	852	23
PMG11_01052	1887	14
PMG11_01053	1485	328
PMG11_01054	1020	36
PMG11_01055	1077	24
PMG11_01056	771	58
PMG11_01057	1440	487
PMG11_01058	1221	27
PMG11_01059	1212	9
PMG11_01060	1155	103
PMG11_01061	2874	9
PMG11_01062	1599	165
PMG11_01063	732	15
PMG11_01064	1536	57
PMG11_01065	357	54
PMG11_01066	309	24
PMG11_01067	1068	18
PMG11_01068	2019	552
PMG11_01069	1893	60
PMG11_01070	1842	9
PMG11_01071	1464	37
PMG11_01072	2301	3
PMG11_01073	1197	0
PMG11_01074	843	0
PMG11_01075	1665	9
PMG11_01076	1620	7
PMG11_01077	4041	11
PMG11_01078	453	19
PMG11_01079	3585	88
PMG11_01080	1251	14
PMG11_01081	2565	85
PMG11_01082	2064	20
PMG11_01083	2094	121
PMG11_01084	1296	73
PMG11_01085	1152	13
PMG11_01086	786	67
PMG11_01087	897	2884
PMG11_01088	3117	3
PMG11_01089	699	0
PMG11_01090	1587	227
PMG11_01091	492	27
PMG11_01092	2520	33
PMG11_01093	1254	14
PMG11_01094	2844	35
PMG11_01095	741	105
PMG11_01096	2556	14
PMG11_01097	1317	96
PMG11_01098	1140	97
PMG11_01099	2949	42
PMG11_01100	483	81
PMG11_01101	279	912
PMG11_01102	4035	155
PMG11_01103	276	3
PMG11_01104	1440	263
PMG11_01105	1260	29
PMG11_01106	3501	59
